ICD9_CODE,LONG_TITLE,DEPTH
038.12,methicillin resistant staphylococcus aureus septicemia,5
038.11,methicillin susceptible staphylococcus aureus septicemia,5
038.10,"staphylococcal septicemia, unspecified",5
038.4,septicemia due to other gram-negative organisms,4
038.49,other,5
038.44,serratia,5
038.43,pseudomonas,5
038.42,escherichia coli [e. coli],5
038.41,hemophilus influenzae [h. influenzae],5
038.40,"gram-negative organism, unspecified",5
039,actinomycotic infections,3
039.9,of unspecified site,4
039.8,of other specified sites,4
039.4,madura foot,4
039.3,cervicofacial,4
039.2,abdominal,4
039.1,pulmonary,4
039.0,cutaneous,4
040,other bacterial diseases,3
040.3,necrobacillosis,4
040.2,whipple's disease,4
040.1,rhinoscleroma,4
040.0,gas gangrene,4
040.4,other specified botulism,4
040.42,wound botulism,5
040.41,infant botulism,5
040.8,other specified bacterial diseases,4
040.89,other,5
040.82,toxic shock syndrome,5
040.81,tropical pyomyositis,5
041,bacterial infection in conditions classified elsewhere and of unspecified site,3
041.9,"bacterial infection, unspecified",4
041.7,pseudomonas,4
041.6,proteus (mirabilis) (morganii),4
041.5,hemophilus influenzae [h. influenzae],4
041.4,escherichia coli [e.coli],4
041.3,friedländer's bacillus,4
041.2,pneumococcus,4
041.0,streptococcus,4
041.09,other streptococcus,5
041.05,group g,5
041.04,group d [enterococcus],5
041.03,group c,5
041.02,group b,5
041.01,group a,5
041.00,"streptococcus, unspecified",5
041.1,staphylococcus,4
041.19,other staphylococcus,5
041.12,methicillin resistant staphylococcus aureus,5
041.11,methicillin susceptible staphylococcus aureus,5
041.10,"staphylococcus, unspecified",5
041.8,other specified bacterial infections,4
041.89,other specified bacteria,5
041.86,helicobacter pylori (h. pylori),5
041.85,other gram-negative organisms,5
041.84,other anaerobes,5
041.83,clostridium perfringens,5
041.82,bacteroides fragilis,5
041.81,mycoplasma,5
042,human immunodeficiency virus [hiv] disease,3
045-049,poliomyelitis and other non-arthropod-borne viral diseases and prion diseases of central nervous system ,2
048,other enterovirus diseases of central nervous system,3
045,acute poliomyelitis,3
045.9,"acute poliomyelitis, unspecified",4
045.2,acute nonparalytic poliomyelitis,4
045.1,acute poliomyelitis with other paralysis,4
045.0,acute paralytic poliomyelitis specified as bulbar,4
046,slow virus infections and prion diseases of central nervous system,3
046.9,unspecified slow virus infection of central nervous system,4
046.8,other specified slow virus infection of central nervous system,4
046.3,progressive multifocal leukoencephalopathy,4
046.2,subacute sclerosing panencephalitis,4
046.0,kuru,4
046.1,jakob-creutzfeldt disease,4
046.19,other and unspecified creutzfeldt-jakob disease,5
046.11,variant creutzfeldt-jakob disease,5
046.7,other specified prion diseases of central nervous system,4
046.79,other and unspecified prion disease of central nervous system,5
046.72,fatal familial insomnia,5
046.71,gerstmann-sträussler-scheinker syndrome,5
047,meningitis due to enterovirus,3
047.9,unspecified viral meningitis,4
047.8,other specified viral meningitis,4
047.1,echo virus,4
047.0,coxsackie virus,4
049,other non-arthropod-borne viral diseases of central nervous system,3
049.9,unspecified non-arthropod-borne viral diseases of central nervous system,4
049.8,other specified non-arthropod-borne viral diseases of central nervous system,4
049.1,meningitis due to adenovirus,4
049.0,lymphocytic choriomeningitis,4
050-059,viral diseases accompanied by exanthem ,2
050,smallpox,3
050.9,"smallpox, unspecified",4
050.2,modified smallpox,4
050.1,alastrim,4
050.0,variola major,4
051,cowpox and paravaccinia,3
051.9,"paravaccinia, unspecified",4
051.2,contagious pustular dermatitis,4
051.1,pseudocowpox,4
051.0,cowpox and vaccinia not from vaccination,4
051.02,vaccinia not from vaccination,5
051.01,cowpox,5
052,chickenpox,3
052.9,varicella without mention of complication,4
052.8,with unspecified complication,4
052.7,with other specified complications,4
052.2,postvaricella myelitis,4
052.1,varicella (hemorrhagic) pneumonitis,4
052.0,postvaricella encephalitis,4
053,herpes zoster,3
053.9,herpes zoster without mention of complication,4
053.8,with unspecified complication,4
053.0,with meningitis,4
053.1,with other nervous system complications,4
053.19,other,5
053.14,herpes zoster myelitis,5
053.13,postherpetic polyneuropathy,5
053.12,postherpetic trigeminal neuralgia,5
053.11,geniculate herpes zoster,5
053.10,with unspecified nervous system complication,5
053.2,with ophthalmic complications,4
053.29,other,5
053.22,herpes zoster iridocyclitis,5
053.21,herpes zoster keratoconjunctivitis,5
053.20,herpes zoster dermatitis of eyelid,5
053.7,with other specified complications,4
053.79,other,5
053.71,otitis externa due to herpes zoster,5
054,herpes simplex,3
054.9,herpes simplex without mention of complication,4
054.8,with unspecified complication,4
054.6,herpetic whitlow,4
054.5,herpetic septicemia,4
054.3,herpetic meningoencephalitis,4
054.2,herpetic gingivostomatitis,4
054.0,eczema herpeticum,4
054.1,genital herpes,4
054.19,other,5
054.13,herpetic infection of penis,5
054.12,herpetic ulceration of vulva,5
054.11,herpetic vulvovaginitis,5
054.10,"genital herpes, unspecified",5
054.4,with ophthalmic complications,4
054.49,other,5
054.44,herpes simplex iridocyclitis,5
054.43,herpes simplex disciform keratitis,5
054.42,dendritic keratitis,5
054.41,herpes simplex dermatitis of eyelid,5
054.40,with unspecified ophthalmic complication,5
054.7,with other specified complications,4
054.79,other,5
054.74,herpes simplex myelitis,5
054.73,herpes simplex otitis externa,5
054.72,herpes simplex meningitis,5
054.71,visceral herpes simplex,5
055,measles,3
055.9,measles without mention of complication,4
055.8,with unspecified complication,4
055.2,postmeasles otitis media,4
055.1,postmeasles pneumonia,4
055.0,postmeasles encephalitis,4
055.7,with other specified complications,4
055.79,other,5
055.71,measles keratoconjunctivitis,5
056,rubella,3
056.9,rubella without mention of complication,4
056.8,with unspecified complications,4
056.0,with neurological complications,4
056.09,other,5
056.01,encephalomyelitis due to rubella,5
056.00,with unspecified neurological complication,5
056.7,with other specified complications,4
056.79,other,5
056.71,arthritis due to rubella,5
057,other viral exanthemata,3
057.9,"viral exanthem, unspecified",4
057.8,other specified viral exanthemata,4
057.0,erythema infectiosum [fifth disease],4
058,other human herpesvirus,3
058.1,roseola infantum,4
058.12,roseola infantum due to human herpesvirus 7,5
058.11,roseola infantum due to human herpesvirus 6,5
058.10,"roseola infantum, unspecified",5
058.2,other human herpesvirus encephalitis,4
058.29,other human herpesvirus encephalitis,5
058.21,human herpesvirus 6 encephalitis,5
058.8,other human herpesvirus infections,4
058.89,other human herpesvirus infection,5
058.82,human herpesvirus 7 infection,5
058.81,human herpesvirus 6 infection,5
059,other poxvirus infections,3
059.9,"poxvirus infections, unspecified",4
059.8,other poxvirus infections,4
059.0,other orthopoxvirus infections,4
059.09,other orthopoxvirus infection,5
059.01,monkeypox,5
059.00,"orthopoxvirus infection, unspecified",5
059.1,other parapoxvirus infections,4
059.19,other parapoxvirus infections,5
059.12,sealpox,5
059.11,bovine stomatitis,5
059.10,"parapoxvirus infection, unspecified",5
059.2,yatapoxvirus infections,4
059.22,yaba monkey tumor virus,5
059.21,tanapox,5
059.20,"yatapoxvirus infection, unspecified",5
060-066,arthropod-borne viral diseases ,2
064,viral encephalitis transmitted by other and unspecified arthropods,3
061,dengue,3
060,yellow fever,3
060.9,"yellow fever, unspecified",4
060.1,urban,4
060.0,sylvatic,4
062,mosquito-borne viral encephalitis,3
062.9,"mosquito-borne viral encephalitis, unspecified",4
062.8,other specified mosquito-borne viral encephalitis,4
062.5,california virus encephalitis,4
062.4,australian encephalitis,4
062.3,st. louis encephalitis,4
062.2,eastern equine encephalitis,4
062.1,western equine encephalitis,4
062.0,japanese encephalitis,4
063,tick-borne viral encephalitis,3
063.9,"tick-borne viral encephalitis, unspecified",4
063.8,other specified tick-borne viral encephalitis,4
063.2,central european encephalitis,4
063.1,louping ill,4
063.0,russian spring-summer [taiga] encephalitis,4
065,arthropod-borne hemorrhagic fever,3
065.9,"arthropod-borne hemorrhagic fever, unspecified",4
065.8,other specified arthropod-borne hemorrhagic fever,4
065.4,mosquito-borne hemorrhagic fever,4
065.3,other tick-borne hemorrhagic fever,4
065.2,kyasanur forest disease,4
065.1,omsk hemorrhagic fever,4
065.0,crimean hemorrhagic fever [chf congo virus],4
066,other arthropod-borne viral diseases,3
066.9,"arthropod-borne viral disease, unspecified",4
066.8,other specified arthropod-borne viral diseases,4
066.3,other mosquito-borne fever,4
066.2,venezuelan equine fever,4
066.1,tick-borne fever,4
066.0,phlebotomus fever,4
066.4,west nile fever,4
066.49,west nile fever with other complications,5
066.42,west nile fever with other neurologic manifestation,5
066.41,west nile fever with encephalitis,5
066.40,"west nile fever, unspecified",5
070-079,other diseases due to viruses and chlamydiae ,2
075,infectious mononucleosis,3
071,rabies,3
070,viral hepatitis,3
070.9,unspecified viral hepatitis without mention of hepatic coma,4
070.6,unspecified viral hepatitis with hepatic coma,4
070.3,viral hepatitis b without mention of hepatic coma,4
070.2,viral hepatitis b with hepatic coma,4
070.1,viral hepatitis a without mention of hepatic coma,4
070.0,viral hepatitis a with hepatic coma,4
070.4,other specified viral hepatitis with hepatic coma,4
070.49,other specified viral hepatitis with hepatic coma,5
070.44,chronic hepatitis c with hepatic coma,5
070.43,hepatitis e with hepatic coma,5
070.42,hepatitis delta without mention of active hepatitis b disease with hepatic coma,5
070.41,acute hepatitis c with hepatic coma,5
070.5,other specified viral hepatitis without mention of hepatic coma,4
070.59,other specified viral hepatitis without mention of hepatic coma,5
070.54,chronic hepatitis c without mention of hepatic coma,5
070.53,hepatitis e without mention of hepatic coma,5
070.52,hepatitis delta without mention of active hepatitis b disease or hepatic coma,5
070.51,acute hepatitis c without mention of hepatic coma,5
070.7,unspecified viral hepatitis c,4
070.71,unspecified viral hepatitis c with hepatic coma,5
070.70,unspecified viral hepatitis c without hepatic coma,5
072,mumps,3
072.9,mumps without mention of complication,4
072.8,mumps with unspecified complication,4
072.3,mumps pancreatitis,4
072.2,mumps encephalitis,4
072.1,mumps meningitis,4
072.0,mumps orchitis,4
072.7,mumps with other specified complications,4
072.79,other,5
072.72,mumps polyneuropathy,5
072.71,mumps hepatitis,5
073,ornithosis,3
073.9,"ornithosis, unspecified",4
073.8,with unspecified complication,4
073.7,with other specified complications,4
073.0,with pneumonia,4
074,specific diseases due to coxsackie virus,3
074.8,other specified diseases due to coxsackie virus,4
074.3,"hand, foot, and mouth disease",4
074.1,epidemic pleurodynia,4
074.0,herpangina,4
074.2,coxsackie carditis,4
074.23,coxsackie myocarditis,5
074.22,coxsackie endocarditis,5
074.21,coxsackie pericarditis,5
074.20,"coxsackie carditis, unspecified",5
076,trachoma,3
076.9,"trachoma, unspecified",4
076.1,active stage,4
076.0,initial stage,4
077,other diseases of conjunctiva due to viruses and chlamydiae,3
077.8,other viral conjunctivitis,4
077.4,epidemic hemorrhagic conjunctivitis,4
077.3,other adenoviral conjunctivitis,4
077.2,pharyngoconjunctival fever,4
077.1,epidemic keratoconjunctivitis,4
077.0,inclusion conjunctivitis,4
077.9,unspecified diseases of conjunctiva due to viruses and chlamydiae,4
077.99,due to viruses,5
077.98,due to chlamydiae,5
078,other diseases due to viruses and chlamydiae,3
078.7,arenaviral hemorrhagic fever,4
078.6,hemorrhagic nephrosonephritis,4
078.5,cytomegaloviral disease,4
078.4,foot and mouth disease,4
078.3,cat-scratch disease,4
078.2,sweating fever,4
078.0,molluscum contagiosum,4
078.1,viral warts,4
078.19,other specified viral warts,5
078.12,plantar wart,5
078.11,condyloma acuminatum,5
078.10,"viral warts, unspecified",5
078.8,other specified diseases due to viruses and chlamydiae,4
078.89,other specified diseases due to viruses,5
078.88,other specified diseases due to chlamydiae,5
078.82,epidemic vomiting syndrome,5
078.81,epidemic vertigo,5
079,viral and chlamydial infection in conditions classified elsewhere and of unspecified site,3
079.6,respiratory syncytial virus (rsv),4
079.4,human papillomavirus,4
079.3,rhinovirus,4
079.2,coxsackie virus,4
079.1,echo virus,4
079.0,adenovirus,4
079.5,retrovirus,4
079.59,other specified retrovirus,5
079.53,"human immunodeficiency virus, type 2 [hiv-2]",5
079.52,"human t-cell lymphotrophic virus, type ii [htlv-ii]",5
079.51,"human t-cell lymphotrophic virus, type i [htlv-i]",5
079.50,"retrovirus, unspecified",5
079.8,other specified viral and chlamydial infections,4
079.89,other specified viral infection,5
079.88,other specified chlamydial infection,5
079.83,parvovirus b19,5
079.82,sars-associated coronavirus,5
079.81,hantavirus,5
079.9,unspecified viral and chlamydial infections,4
079.99,unspecified viral infection,5
079.98,unspecified chlamydial infection,5
080-088,rickettsioses and other arthropod-borne diseases ,2
080,louse-borne [epidemic] typhus,3
081,other typhus,3
081.9,"typhus, unspecified",4
081.2,scrub typhus,4
081.1,brill's disease,4
081.0,murine [endemic] typhus,4
082,tick-borne rickettsioses,3
082.9,"tick-borne rickettsiosis, unspecified",4
082.8,other specified tick-borne rickettsioses,4
082.3,queensland tick typhus,4
082.2,north asian tick fever,4
082.1,boutonneuse fever,4
082.0,spotted fevers,4
082.4,ehrlichiosis,4
082.49,other ehrlichiosis,5
082.41,ehrlichiosis chaffeensis [e. chaffeensis],5
082.40,"ehrlichiosis, unspecified",5
083,other rickettsioses,3
083.9,"rickettsiosis, unspecified",4
083.8,other specified rickettsioses,4
083.2,rickettsialpox,4
083.1,trench fever,4
083.0,q fever,4
084,malaria,3
084.9,other pernicious complications of malaria,4
084.8,blackwater fever,4
084.7,induced malaria,4
084.6,"malaria, unspecified",4
084.5,mixed malaria,4
084.4,other malaria,4
084.3,ovale malaria,4
084.2,quartan malaria,4
084.1,vivax malaria [benign tertian],4
084.0,falciparum malaria [malignant tertian],4
085,leishmaniasis,3
085.9,"leishmaniasis, unspecified",4
085.5,mucocutaneous (american),4
085.4,"cutaneous, american",4
085.3,"cutaneous, ethiopian",4
085.2,"cutaneous, asian desert",4
085.1,"cutaneous, urban",4
085.0,visceral [kala-azar],4
086,trypanosomiasis,3
086.9,"trypanosomiasis, unspecified",4
086.5,"african trypanosomiasis, unspecified",4
086.4,rhodesian trypanosomiasis,4
086.3,gambian trypanosomiasis,4
086.2,chagas' disease without mention of organ involvement,4
086.1,chagas' disease with other organ involvement,4
086.0,chagas' disease with heart involvement,4
087,relapsing fever,3
087.9,"relapsing fever, unspecified",4
087.1,tick-borne,4
087.0,louse-borne,4
088,other arthropod-borne diseases,3
088.9,"arthropod-borne disease, unspecified",4
088.0,bartonellosis,4
088.8,other specified arthropod-borne diseases,4
088.89,other,5
088.82,babesiosis,5
088.81,lyme disease,5
090-099,syphilis and other venereal diseases ,2
096,"late syphilis, latent",3
090,congenital syphilis,3
090.9,"congenital syphilis, unspecified",4
090.7,"late congenital syphilis, unspecified",4
090.6,"late congenital syphilis, latent",4
090.5,"other late congenital syphilis, symptomatic",4
090.3,syphilitic interstitial keratitis,4
090.2,"early congenital syphilis, unspecified",4
090.1,"early congenital syphilis, latent",4
090.0,"early congenital syphilis, symptomatic",4
090.4,juvenile neurosyphilis,4
090.49,other,5
090.42,congenital syphilitic meningitis,5
090.41,congenital syphilitic encephalitis,5
090.40,"juvenile neurosyphilis, unspecified",5
091,"early syphilis, symptomatic",3
091.9,unspecified secondary syphilis,4
091.7,"secondary syphilis, relapse",4
091.4,adenopathy due to secondary syphilis,4
091.3,secondary syphilis of skin or mucous membranes,4
091.2,other primary syphilis,4
091.1,primary anal syphilis,4
091.0,genital syphilis (primary),4
091.5,uveitis due to secondary syphilis,4
091.52,syphilitic iridocyclitis (secondary),5
091.51,syphilitic chorioretinitis (secondary),5
091.50,"syphilitic uveitis, unspecified",5
091.6,secondary syphilis of viscera and bone,4
091.69,other viscera,5
091.62,secondary syphilitic hepatitis,5
091.61,secondary syphilitic periostitis,5
091.8,other forms of secondary syphilis,4
091.89,other,5
091.82,syphilitic alopecia,5
091.81,acute syphilitic meningitis (secondary),5
092,"early syphilis, latent",3
092.9,"early syphilis, latent, unspecified",4
092.0,"early syphilis, latent, serological relapse after treatment",4
093,cardiovascular syphilis,3
093.9,"cardiovascular syphilis, unspecified",4
093.1,syphilitic aortitis,4
093.0,"aneurysm of aorta, specified as syphilitic",4
093.2,syphilitic endocarditis,4
093.24,pulmonary valve,5
093.23,tricuspid valve,5
093.22,aortic valve,5
093.21,mitral valve,5
093.20,"valve, unspecified",5
093.8,other specified cardiovascular syphilis,4
093.89,other,5
093.82,syphilitic myocarditis,5
093.81,syphilitic pericarditis,5
094,neurosyphilis,3
094.9,"neurosyphilis, unspecified",4
094.3,asymptomatic neurosyphilis,4
094.2,syphilitic meningitis,4
094.1,general paresis,4
094.0,tabes dorsalis,4
094.8,other specified neurosyphilis,4
094.89,other,5
094.87,syphilitic ruptured cerebral aneurysm,5
094.86,syphilitic acoustic neuritis,5
094.85,syphilitic retrobulbar neuritis,5
094.84,syphilitic optic atrophy,5
094.83,syphilitic disseminated retinochoroiditis,5
094.82,syphilitic parkinsonism,5
094.81,syphilitic encephalitis,5
095,"other forms of late syphilis, with symptoms",3
095.9,"late symptomatic syphilis, unspecified",4
095.8,other specified forms of late symptomatic syphilis,4
095.7,"syphilis of synovium, tendon, and bursa",4
095.6,syphilis of muscle,4
095.5,syphilis of bone,4
095.4,syphilis of kidney,4
095.3,syphilis of liver,4
095.2,syphilitic peritonitis,4
095.1,syphilis of lung,4
095.0,syphilitic episcleritis,4
097,other and unspecified syphilis,3
097.9,"syphilis, unspecified",4
097.1,"latent syphilis, unspecified",4
097.0,"late syphilis, unspecified",4
098,gonococcal infections,3
098.7,gonococcal infection of anus and rectum,4
098.6,gonococcal infection of pharynx,4
098.2,"chronic, of lower genitourinary tract",4
098.0,"acute, of lower genitourinary tract",4
098.1,"acute, of upper genitourinary tract",4
098.19,other,5
098.17,"gonococcal salpingitis, specified as acute",5
098.16,gonococcal endometritis (acute),5
098.15,gonococcal cervicitis (acute),5
098.14,gonococcal seminal vesiculitis (acute),5
098.13,gonococcal epididymo-orchitis (acute),5
098.12,gonococcal prostatitis (acute),5
098.11,gonococcal cystitis (acute),5
098.10,"gonococcal infection (acute) of upper genitourinary tract, site unspecified",5
098.3,"chronic, of upper genitourinary tract",4
098.39,other,5
098.37,gonococcal salpingitis (chronic),5
098.36,"gonococcal endometritis, chronic",5
098.35,"gonococcal cervicitis, chronic",5
098.34,"gonococcal seminal vesiculitis, chronic",5
098.33,"gonococcal epididymo-orchitis, chronic",5
098.32,"gonococcal prostatitis, chronic",5
098.31,"gonococcal cystitis, chronic",5
098.30,"chronic gonococcal infection of upper genitourinary tract, site unspecified",5
098.4,gonococcal infection of eye,4
098.49,other,5
098.43,gonococcal keratitis,5
098.42,gonococcal endophthalmia,5
098.41,gonococcal iridocyclitis,5
098.40,gonococcal conjunctivitis (neonatorum),5
098.5,gonococcal infection of joint,4
098.59,other,5
098.53,gonococcal spondylitis,5
098.52,gonococcal bursitis,5
098.51,gonococcal synovitis and tenosynovitis,5
098.50,gonococcal arthritis,5
098.8,gonococcal infection of other specified sites,4
098.89,other,5
098.86,gonococcal peritonitis,5
098.85,other gonococcal heart disease,5
098.84,gonococcal endocarditis,5
098.83,gonococcal pericarditis,5
098.82,gonococcal meningitis,5
098.81,gonococcal keratosis (blennorrhagica),5
099,other venereal diseases,3
